1,2,3,4,5,6,7,8,9,10
3.1e-05,3.1e-05,3.1e-05,3.1e-05,3.1e-05,3.1e-05,0,0,0,0
1.3147,1.9077,0.46328,2.3921,1.2412,2.0325,0,0,0,0
1.352,2.1359,0.46148,2.6399,1.2329,1.6248,0,0,0,0
1.2686,2.0668,0.48995,2.068,1.1462,2.0545,0,0,0,0
1.1985,2.6275,0.42955,1.6811,1.1126,1.7321,0,0,0,0
1.0629,2.6389,0.49246,2.3499,1.1261,2.6433,0,0,0,0
1.0934,1.7131,0.4805,1.6751,1.2859,1.8008,0,0,0,0
1.4009,2.0525,0.465,1.9493,1.0786,2.5486,0,0,0,0
1.1748,2.19,0.4647,1.8889,1.0703,1.7624,0,0,0,0
1.1419,1.8176,0.41721,2.8599,1.2128,2.3309,0,0,0,0
1.3946,1.9515,0.43765,1.69,1.1691,2.5481,0,0,0,0
1.2952,2.2554,0.44849,1.7328,1.2486,2.4126,0,0,0,0
1.255,1.911,0.43439,2.397,1.2544,2.0326,0,0,0,0
1.1408,2.1401,0.44553,2.6372,1.2451,1.6283,0,0,0,0
1.0102,2.0694,0.4269,2.0684,1.0198,2.0555,0,0,0,0
1.2552,2.6254,0.43101,1.6852,1.1077,1.7308,0,0,0,0
1.341,2.6337,0.42914,2.3522,1.2583,2.6447,0,0,0,0
1.1391,1.7124,0.40643,1.6748,1.2259,1.796,0,0,0,0
1.195,2.0498,0.40737,1.9534,1.0881,2.5496,0,0,0,0
1.2865,2.1909,0.4287,1.885,1.0733,1.7654,0,0,0,0
1.5394,1.8158,0.40552,2.8614,1.3229,2.3305,0,0,0,0
1.417,1.9533,0.43734,1.6915,1.0883,2.5521,0,0,0,0
1.6539,2.2546,0.43047,1.7318,0.97564,2.4077,0,0,0,0
1.3759,0,0.38663,0,1.1319,0,0,0,0,0
1.5727,0,0.40093,0,1.2161,0,0,0,0,0
1.3327,0,0.44203,0,1.1255,0,0,0,0,0
1.2001,0,0.43755,0,1.2385,0,0,0,0,0
1.4377,0,0.40743,0,1.2443,0,0,0,0,0
1.3645,0,0.38526,0,1.2441,0,0,0,0,0
1.5212,0,0.41844,0,1.2388,0,0,0,0,0
1.3223,0,0.4046,0,1.2174,0,0,0,0,0
1.3122,0,0.43694,0,1.0555,0,0,0,0,0
1.33,0,0.42235,0,1.0948,0,0,0,0,0
1.4527,0,0.40446,0,1.291,0,0,0,0,0
1.6494,0,0.38661,0,1.2191,0,0,0,0,0
1.5128,0,0.38018,0,1.2903,0,0,0,0,0
1.2417,0,0.38501,0,1.0819,0,0,0,0,0
1.3982,0,0.39515,0,1.1421,0,0,0,0,0
1.3693,0,0.39126,0,1.0921,0,0,0,0,0
1.4033,0,0.38222,0,1.2247,0,0,0,0,0
1.2125,0,0.37509,0,1.0121,0,0,0,0,0
1.5281,0,0.38602,0,0.99994,0,0,0,0,0
1.2264,0,0.38838,0,1.2039,0,0,0,0,0
1.4008,0,0.38939,0,1.3092,0,0,0,0,0
1.0886,0,0.40102,0,1.1693,0,0,0,0,0
1.4863,0,0.41804,0,0.94134,0,0,0,0,0
1.2832,0,0.42904,0,1.0988,0,0,0,0,0
1.2623,0,0.40678,0,1.0928,0,0,0,0,0
1.4292,0,0.39452,0,1.1296,0,0,0,0,0
1.2577,0,0.37796,0,1.0885,0,0,0,0,0
1.2743,0,0.3998,0,1.0848,0,0,0,0,0
1.1552,0,0.42409,0,1.1099,0,0,0,0,0
1.2651,0,0.44854,0,1.0707,0,0,0,0,0
1.2269,0,0.41318,0,1.2158,0,0,0,0,0
1.5205,0,0.39045,0,1.1058,0,0,0,0,0
1.177,0,0.41535,0,1.061,0,0,0,0,0
1.4706,0,0.45948,0,0.9947,0,0,0,0,0
1.5041,0,0.40019,0,1.0224,0,0,0,0,0
1.1634,0,0.39353,0,1.2718,0,0,0,0,0
1.3138,0,0.39864,0,0.90303,0,0,0,0,0
1.0384,0,0.44542,0,1.0625,0,0,0,0,0
1.1463,0,1.2263,0,1.1162,0,0,0,0,0
1.2373,0,1.2169,0,1.0954,0,0,0,0,0
1.246,0,1.2461,0,1.0746,0,0,0,0,0
1.0956,0,1.0774,0,1.0319,0,0,0,0,0
0.99912,0,1.155,0,1.005,0,0,0,0,0
1.0111,0,1.111,0,1.175,0,0,0,0,0
1.2085,0,1.0842,0,1.0285,0,0,0,0,0
1.0919,0,1.1236,0,1.0132,0,0,0,0,0
1.0309,0,1.2054,0,1.1877,0,0,0,0,0
1.1864,0,1.2278,0,1.1493,0,0,0,0,0
1.2328,0,1.3058,0,1.1821,0,0,0,0,0
1.185,0,1.2409,0,1.1354,0,0,0,0,0
1.0738,0,1.3615,0,1.1309,0,0,0,0,0
0.96719,0,1.2572,0,0.97743,0,0,0,0,0
1.155,0,1.2561,0,1.0519,0,0,0,0,0
1.2328,0,1.1652,0,1.1856,0,0,0,0,0
1.0556,0,1.016,0,1.1071,0,0,0,0,0
1.0958,0,1.0975,0,0.98398,0,0,0,0,0
1.1797,0,1.3989,0,0.9716,0,0,0,0,0
1.3334,0,1.3533,0,1.2191,0,0,0,0,0
1.261,0,1.2621,0,1.0273,0,0,0,0,0
1.4215,0,1.4113,0,0.94518,0,0,0,0,0
1.2673,0,1.159,0,1.1012,0,0,0,0,0
1.3776,0,1.1288,0,1.1259,0,0,0,0,0
1.2133,0,1.152,0,1.0574,0,0,0,0,0
1.1324,0,1.0729,0,1.1704,0,0,0,0,0
1.2847,0,1.2266,0,1.1677,0,0,0,0,0
1.2267,0,0.98937,0,1.1548,0,0,0,0,0
1.2768,0,1.2451,0,1.1551,0,0,0,0,0
1.1833,0,1.3096,0,1.0692,0,0,0,0,0
1.1432,0,1.3628,0,0.9891,0,0,0,0,0
1.16,0,1.1944,0,1.0152,0,0,0,0,0
1.3388,0,1.311,0,1.172,0,0,0,0,0
1.4229,0,1.3005,0,1.1818,0,0,0,0,0
1.3114,0,1.3314,0,1.2146,0,0,0,0,0
1.1395,0,1.2868,0,1.0402,0,0,0,0,0
1.2308,0,1.0966,0,1.127,0,0,0,0,0
1.229,0,1.0752,0,1.0364,0,0,0,0,0
1.2292,0,1.1104,0,1.1547,0,0,0,0,0
1.0814,0,0.9471,0,0.96776,0,0,0,0,0
1.3256,0,0.91748,0,0.94794,0,0,0,0,0
1.1148,0,1.0264,0,1.0936,0,0,0,0,0
1.2339,0,0.99101,0,1.2256,0,0,0,0,0
0.9933,0,1.2566,0,1.064,0,0,0,0,0
1.2054,0,1.0437,0,0.90923,0,0,0,0,0
1.1697,0,1.055,0,1.0264,0,0,0,0,0
1.1572,0,1.0512,0,1.0423,0,0,0,0,0
1.217,0,1.049,0,1.0735,0,0,0,0,0
1.136,0,1.2999,0,1.0182,0,0,0,0,0
1.1999,0,1.0138,0,1.0046,0,0,0,0,0
1.0733,0,1.1498,0,1.0395,0,0,0,0,0
1.1479,0,1.1793,0,0.9861,0,0,0,0,0
1.1576,0,1.0249,0,1.1379,0,0,0,0,0
1.2943,0,1.3144,0,1.0421,0,0,0,0,0
1.0801,0,1.0475,0,0.99654,0,0,0,0,0
1.2616,0,1.1205,0,0.93954,0,0,0,0,0
1.2481,0,0.89419,0,0.96706,0,0,0,0,0
1.1289,0,1.0406,0,1.1807,0,0,0,0,0
1.1371,0,1.1585,0,0.86529,0,0,0,0,0
0.9524,0,1.0892,0,1.0105,0,0,0,0,0
1.24,0,1.0967,0,0.93731,0,0,0,0,0
1.3415,0,1.054,0,0.87173,0,0,0,0,0
1.2531,0,1.0768,0,0.89664,0,0,0,0,0
1.1532,0,1.0361,0,0.89922,0,0,0,0,0
1.0426,0,1.074,0,0.98347,0,0,0,0,0
1.0767,0,1.028,0,1.0897,0,0,0,0,0
1.3811,0,0.98805,0,0.9312,0,0,0,0,0
1.2319,0,1.0061,0,0.91383,0,0,0,0,0
1.1392,0,1.0941,0,1.0478,0,0,0,0,0
1.3317,0,1.1249,0,1.0071,0,0,0,0,0
1.2367,0,1.1709,0,1.0304,0,0,0,0,0
1.2247,0,1.128,0,1.0005,0,0,0,0,0
1.1438,0,1.2158,0,1.0299,0,0,0,0,0
1.0107,0,1.1148,0,0.87579,0,0,0,0,0
1.2482,0,1.1035,0,0.92216,0,0,0,0,0
1.2899,0,1.0791,0,0.99112,0,0,0,0,0
1.1041,0,0.95249,0,1.003,0,0,0,0,0
1.1487,0,1.0117,0,0.91661,0,0,0,0,0
1.2302,0,1.203,0,0.89495,0,0,0,0,0
1.4549,0,1.1936,0,1.0409,0,0,0,0,0
1.4196,0,1.1059,0,0.91525,0,0,0,0,0
1.5295,0,1.216,0,0.86446,0,0,0,0,0
1.3751,0,1.1054,0,0.95158,0,0,0,0,0
1.5566,0,1.0618,0,1.0084,0,0,0,0,0
1.2595,0,1.0681,0,0.94671,0,0,0,0,0
1.1985,0,1.0112,0,1.0048,0,0,0,0,0
1.3926,0,1.1142,0,1.0187,0,0,0,0,0
1.3704,0,0.93126,0,1.0046,0,0,0,0,0
1.4341,0,1.0711,0,1.0283,0,0,0,0,0
1.3062,0,1.1903,0,0.98771,0,0,0,0,0
1.2573,0,1.1844,0,0.92504,0,0,0,0,0
1.3046,0,1.0918,0,0.92287,0,0,0,0,0
